frase_id,Frase,Nombre,Link,Cat1
1782,Mi ideal político es el democrático. Cada uno debe ser respetado como persona y nadie debe ser divinizado.,Albert Einstein,https://es.wikipedia.org/wiki/Albert_Einstein,CUALIDADES
1783,Los hombres ofenden antes al que aman que al que temen.,Nicolás Maquiavelo,https://es.wikipedia.org/wiki/Nicol%C3%A1s_Maquiavelo,MISCELÁNEA
1784,"Lo que ha sido creído por todos siempre y en todas partes, tiene todas las posibilidades de ser falso.",Paul Valéry,https://es.wikipedia.org/wiki/Paul_Val%C3%A9ry,PENSAMIENTO Y RAZÓN
1785,"La única posibilidad de descubrir los límites de lo posible es aventurarse un poco más allá de ellos, hacia lo imposible.",Arthur C. Clarke,https://es.wikipedia.org/wiki/Arthur_C._Clarke,CUALIDADES
1786,"La paciencia es la más heroica de las virtudes, precisamente porque carece de toda apariencia de heroísmo.",Giacomo Leopardi,https://es.wikipedia.org/wiki/Giacomo_Leopardi,SOCIEDAD
1787,La naturaleza benigna provee de manera que en cualquier parte halles algo que aprender.,Leonardo Da Vinci,https://es.wikipedia.org/wiki/Leonardo_da_Vinci,SOCIEDAD
1788,La mayoría de las personas gastan más tiempo y energías en hablar de los problemas que en afrontarlos.,Henry Ford,https://es.wikipedia.org/wiki/Henry_Ford,MISCELÁNEA
1789,La hermosura es una tiranía de corta duración.,Sócrates,https://es.wikipedia.org/wiki/S%C3%B3crates,SOCIEDAD
1790,"La guerra no es más que un asesinato en masa, y el asesinato no es progreso.",Alphonse de Lamartine,https://es.wikipedia.org/wiki/Alphonse_de_Lamartine,SOCIEDAD
1791,La perseverancia es la virtud por la cual todas las otras virtudes dan su fruto.,Arturo Graf,https://es.wikipedia.org/wiki/Arturo_Graf,NATURALEZA
1792,"La catástrofe que tanto te preocupa, a menudo resulta ser menos horrible en la realidad, de lo que fue en tu imaginación.",Wayne W. Dyer,https://es.wikipedia.org/wiki/Wayne_Dyer,SENTIMIENTOS
1793,Hay que tener buena memoria después de haber mentido.,Pierre Corneille,https://es.wikipedia.org/wiki/Pierre_Corneille,CUALIDADES
1794,Hay que estudiar mucho para saber poco.,Montesquieu,https://es.wikipedia.org/wiki/Montesquieu,MISCELÁNEA
